"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int"
"370" "NP3" 19 "gug" 14 "d" 8 "spy" "rt" 1612 "ungram" "lo"
"372" "NP3" 19 "gug" 8 "b" 8 "doctor" "rt" 972 "gram" "lo"
"374" "NP3" 19 "gug" 15 "a" 8 "peasant" "rt" 915 "gram" "hi"
"376" "NP3" 19 "gug" 16 "b" 8 "friend" "rt" 716 "gram" "lo"
"378" "NP3" 19 "gug" 1 "c" 8 "peasant" "rt" 3011 "ungram" "hi"
"380" "NP3" 19 "gug" 7 "a" 8 "stranger" "rt" 1052 "gram" "hi"
"382" "NP3" 19 "gug" 12 "b" 8 "teacher" "rt" 994 "gram" "lo"
"384" "NP3" 19 "gug" 6 "d" 8 "conductor" "rt" 436 "ungram" "lo"
"386" "NP3" 2 "gug" 4 "a" 8 "professor" "rt" 379 "gram" "hi"
"388" "NP3" 2 "gug" 5 "b" 8 "father" "rt" 475 "gram" "lo"
"390" "NP3" 2 "gug" 12 "a" 8 "teacher" "rt" 1411 "gram" "hi"
"392" "NP3" 2 "gug" 6 "c" 8 "conductor" "rt" 587 "ungram" "hi"
"394" "NP3" 2 "gug" 2 "c" 8 "sister" "rt" 540 "ungram" "hi"
"396" "NP3" 2 "gug" 3 "d" 8 "foreman" "rt" 476 "ungram" "lo"
"398" "NP3" 2 "gug" 1 "b" 8 "peasant" "rt" 539 "gram" "lo"
"400" "NP3" 2 "gug" 14 "c" 8 "spy" "rt" 1108 "ungram" "hi"
"402" "NP3" 2 "gug" 15 "d" 8 "peasant" "rt" 619 "ungram" "lo"
"404" "NP3" 2 "gug" 9 "b" 8 "bystander" "rt" 427 "gram" "lo"
"406" "NP3" 2 "gug" 10 "c" 8 "guard" "rt" 540 "ungram" "hi"
"408" "NP3" 2 "gug" 16 "a" 8 "friend" "rt" 498 "gram" "hi"
"410" "NP3" 2 "gug" 7 "d" 8 "stranger" "rt" 428 "ungram" "lo"
"412" "NP3" 2 "gug" 11 "d" 8 "visitor" "rt" 508 "ungram" "lo"
"414" "NP3" 2 "gug" 8 "a" 8 "doctor" "rt" 378 "gram" "hi"
"416" "NP3" 2 "gug" 13 "b" 8 "worker" "rt" 611 "gram" "lo"
"418" "NP3" 20 "gug" 11 "b" 8 "visitor" "rt" 906 "gram" "lo"
"420" "NP3" 20 "gug" 2 "a" 8 "sister" "rt" 748 "gram" "hi"
"422" "NP3" 20 "gug" 14 "a" 8 "spy" "rt" 1180 "gram" "hi"
"424" "NP3" 20 "gug" 13 "d" 8 "worker" "rt" 1020 "ungram" "lo"
"426" "NP3" 20 "gug" 6 "a" 8 "conductor" "rt" 1251 "gram" "hi"
"428" "NP3" 20 "gug" 10 "a" 8 "guard" "rt" 1148 "gram" "hi"
"430" "NP3" 20 "gug" 1 "d" 8 "peasant" "rt" 2251 "ungram" "lo"
"432" "NP3" 20 "gug" 7 "b" 8 "stranger" "rt" 1883 "gram" "lo"
"434" "NP3" 20 "gug" 9 "d" 8 "bystander" "rt" 3267 "ungram" "lo"
"436" "NP3" 20 "gug" 5 "d" 8 "father" "rt" 1626 "ungram" "lo"
"438" "NP3" 20 "gug" 16 "c" 8 "friend" "rt" 1643 "ungram" "hi"
"440" "NP3" 20 "gug" 12 "c" 8 "teacher" "rt" 1699 "ungram" "hi"
"442" "NP3" 20 "gug" 8 "c" 8 "doctor" "rt" 1323 "ungram" "hi"
"444" "NP3" 20 "gug" 4 "c" 8 "professor" "rt" 755 "ungram" "hi"
"446" "NP3" 20 "gug" 3 "b" 8 "foreman" "rt" 1107 "gram" "lo"
"448" "NP3" 20 "gug" 15 "b" 8 "peasant" "rt" 1107 "gram" "lo"
"450" "NP3" 21 "gug" 14 "b" 8 "spy" "rt" 764 "gram" "lo"
"452" "NP3" 21 "gug" 13 "a" 8 "worker" "rt" 787 "gram" "hi"
"454" "NP3" 21 "gug" 16 "d" 8 "friend" "rt" 588 "ungram" "lo"
"456" "NP3" 21 "gug" 3 "c" 8 "foreman" "rt" 747 "ungram" "hi"
"458" "NP3" 21 "gug" 12 "d" 8 "teacher" "rt" 444 "ungram" "lo"
"460" "NP3" 21 "gug" 1 "a" 8 "peasant" "rt" 588 "gram" "hi"
"462" "NP3" 21 "gug" 10 "b" 8 "guard" "rt" 1219 "gram" "lo"
"464" "NP3" 21 "gug" 7 "c" 8 "stranger" "rt" 540 "ungram" "hi"
