"subj" "group" "sent" "pos" "condfill" "raw" "wl" "NminusOne" "res"
"207" "s35" "gp3" "sent33" "pos7" "J" 719 5 1780 -68.2510265
"208" "s35" "gp3" "sent56" "pos7" "J" 345 4 2672 -120.6496751
"209" "s35" "gp3" "sent64" "pos7" "J" 474 4 1501 -120.0744153
"210" "s35" "gp3" "sent73" "pos7" "J" 351 5 1354 -91.8129808
"211" "s36" "gp3" "sent9" "pos7" "J" 777 5 3050 787.9843165
"212" "s36" "gp3" "sent23" "pos7" "J" 604 8 4534 81.0888903
"213" "s36" "gp3" "sent33" "pos7" "J" 477 5 1696 243.7948155
"214" "s36" "gp3" "sent56" "pos7" "J" 502 4 3539 -217.0090307
"215" "s36" "gp3" "sent64" "pos7" "J" 897 4 1755 -116.0809641
"216" "s36" "gp3" "sent73" "pos7" "J" 778 5 2647 -129.2510265
"217" "s37" "gp3" "sent9" "pos7" "J" 528 5 2134 67.2040481
"218" "s37" "gp3" "sent23" "pos7" "J" 541 8 3990 -61.3004876
"219" "s37" "gp3" "sent33" "pos7" "J" 604 5 1794 -30.423221
"220" "s37" "gp3" "sent56" "pos7" "J" 629 4 1708 284.7715069
"221" "s37" "gp3" "sent64" "pos7" "J" 453 4 3949 -89.980761
"222" "s37" "gp3" "sent73" "pos7" "J" 362 5 1259 -456.6117139
"223" "s38" "gp3" "sent9" "pos7" "J" 363 5 1216 113.0872673
"224" "s38" "gp3" "sent23" "pos7" "J" 345 8 1016 -29.6162481
"225" "s38" "gp3" "sent33" "pos7" "J" 493 5 943 347.4478109
"226" "s38" "gp3" "sent56" "pos7" "J" 306 4 1087 -267.9135831
"227" "s38" "gp3" "sent64" "pos7" "J" 296 4 876 -304.1703867
"228" "s38" "gp3" "sent73" "pos7" "J" 265 5 785 -290.0944228
"229" "s39" "gp3" "sent9" "pos7" "J" 1070 5 2013 -67.3384711
"230" "s39" "gp3" "sent23" "pos7" "J" 614 8 1531 683.316574
"231" "s39" "gp3" "sent33" "pos7" "J" 460 5 1266 89.2457123
