verb subject item condition rt sentencetype
V1 48  7 a  698.0 gram
V1 48  8 b  825.0 ungram
V1 48  9 b  746.0 ungram
V1  5  7 b  842.0 ungram
V1  5  8 b  977.0 ungram
V1  5  5 a  442.0 gram
V1  5 10 a  538.0 gram
V1  5 13 a  738.0 gram
V1  5  6 a  354.0 gram
V1  5 15 b  810.0 ungram
V1  5  1 a  650.0 gram
V1  5 12 b  426.0 ungram
V1  5  9 a  490.0 gram
V1  5 11 b  346.0 ungram
V1  5  3 b  314.0 ungram
V1  5  2 a  322.0 gram
V1  5 14 a  347.0 gram
V1  5 16 b  362.0 ungram
V1  5  4 b  345.0 ungram
V1  6 13 a 1954.0 gram
V1  6 10 b 8624.0 ungram
V1  6  1 a 2561.0 gram
V1  6 15 b 3474.0 ungram
V1  6 14 b 3442.0 ungram
V1  6  7 b 1330.0 ungram
V1  6 16 a 4570.0 gram
V1  6  3 b  370.0 ungram
V1  6  8 a 1001.0 gram
V1  6  6 b  786.0 ungram
V1  6  4 a  442.0 gram
V1  6  9 a 1018.0 gram
V1  6  2 b 2761.0 ungram
V1  6 12 a  553.0 gram
V1  6 11 b  641.0 ungram
V1  6  5 a 2905.0 gram
V1  7  9 b  841.0 ungram
V1  7 11 a  729.0 gram
V1  7 16 a  754.0 gram
V1  7  7 a  730.0 gram
V1  7  6 b 4329.0 ungram
V1  7  8 a  858.0 gram
V1  7 15 a 2866.0 gram
V1  7  3 a  954.0 gram
V1  7 13 b  698.0 ungram
V1  7 14 b  794.0 ungram
V1  7  4 a 3009.0 gram
V1  7  1 b  818.0 ungram
V1  7 12 a  674.0 gram
V1  7 10 b  402.0 ungram
V1  7  2 b  370.0 ungram
V1  7  5 b  394.0 ungram
V1  8  3 a  906.0 gram
V1  8 12 b  642.0 ungram
V1  8  5 b  466.0 ungram
V1  8  1 b  410.0 ungram
V1  8 13 b  450.0 ungram
V1  8  6 a  770.0 gram
V1  8  8 b  834.0 ungram
V1  8 15 a  562.0 gram
V1  8 14 a  610.0 gram
V1  8  2 a  482.0 gram
V1  8 11 a  793.0 gram
V1  8  4 b  698.0 ungram
V1  8  9 b  658.0 ungram
V1  8 16 b  466.0 ungram
V1  8 10 a  793.0 gram
V1  8  7 a  570.0 gram
V1  9  1 a  970.0 gram
V1  9  2 a 3834.0 gram
V1  9 14 a 1225.0 gram
V1  9  7 b 3330.0 ungram
V1  9  3 b 2152.0 ungram
V1  9  8 b 2776.0 ungram
V1  9 10 a  649.0 gram
V1  9 16 b  730.0 ungram
V1  9  6 a  481.0 gram
V1  9  9 a  914.0 gram
V1  9 11 b  753.0 ungram
V1  9  5 a 1010.0 gram
V1  9 13 a  746.0 gram
V1  9  4 b 1146.0 ungram
V1  9 12 b 1026.0 ungram
V1  9 15 b  938.0 ungram
V2 36 15 a  561.0 gram
V2 36  2 a  482.0 gram
V2 36  6 a  650.0 gram
V2 36 14 a  682.0 gram
V2 36  3 a  978.0 gram
V2 36 10 a  770.0 gram
V2 36  7 a  410.0 gram
V2 36 11 a 1138.0 gram
V2 10  9 a 1042.0 gram
V2 10  4 a  824.0 gram
V2 10  5 a 1041.0 gram
V2 10  1 a  650.0 gram
V2 10  8 a  530.0 gram
V2 10 12 a  482.0 gram
V2 10 16 a  738.0 gram
V2 10 13 a  602.0 gram
V2 11  8 a 1098.0 gram
V2 11 15 a 1625.0 gram
V2 11  4 a 1314.0 gram
V2 11 16 a 3912.0 gram
V2 11 11 a  994.0 gram
V2 11 12 a  994.0 gram
V2 11  7 a  914.0 gram
V2 11  3 a  922.0 gram
V2 12 15 a  850.0 gram
V2 12 11 a 1042.0 gram
V2 12  6 a 1066.0 gram
V2 12  7 a 1297.0 gram
V2 12 14 a 1025.0 gram
V2 12 10 a  841.0 gram
V2 12  3 a  793.0 gram
V2 12  2 a  674.0 gram
V2 13  2 a  443.0 gram
V2 13 10 a  650.0 gram
V2 13  5 a  706.0 gram
V2 13 13 a  770.0 gram
V2 13 14 a  594.0 gram
V2 13  6 a  714.0 gram
V2 13  9 a  522.0 gram
V2 13  1 a  498.0 gram
V2 14  4 a 1242.0 gram
V2 14 13 a 1338.0 gram
V2 14 12 a 1242.0 gram
V2 14 16 a 1242.0 gram
V2 14  5 a 1497.0 gram
V2 14  1 a 1010.0 gram
V2 14  8 a  818.0 gram
V2 14  9 a 1074.0 gram
V2 15 16 a 1610.0 gram
V2 15 15 a  658.0 gram
V2 15 11 a  474.0 gram
V2 15  8 a  666.0 gram
V2 15 12 a  521.0 gram
V2 15  7 a  467.0 gram
V2 15  3 a  642.0 gram
V2 15  4 a  810.0 gram
V2 16 14 a  818.0 gram
V2 16 11 a  834.0 gram
V2 16  6 a 1634.0 gram
V2 16 10 a 1162.0 gram
V2 16  3 a 1138.0 gram
V2 16 15 a  890.0 gram
V2 16  7 a  802.0 gram
V2 16  2 a  954.0 gram
V2 17  9 a  922.0 gram
V2 17  5 a 3809.0 gram
V2 17 13 a 1234.0 gram
V2 17  1 a  426.0 gram
V2 17  6 a  530.0 gram
V2 17  2 a  418.0 gram
V2 17 10 a  522.0 gram
V2 17 14 a  778.0 gram
V2 18 16 a  818.0 gram
V2 18  1 a 1010.0 gram
V2 18 12 a  866.0 gram
