"subj" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"246" 2 4 "a" 1 30 1 30 30 30 30 30 30 0 0 0 0 0 30
"247" 2 4 "a" 2 0 0 0 0 0 0 0 30 0 0 0 0 0 0
"248" 2 4 "a" 3 0 0 0 0 0 0 0 30 0 0 0 0 0 0
"249" 2 4 "a" 4 0 0 0 0 0 0 0 30 0 0 0 0 0 0
"250" 2 4 "a" 5 0 0 0 0 0 0 0 30 0 0 0 0 0 0
"251" 2 4 "a" 6 0 0 0 0 0 0 0 30 0 0 0 0 0 0
"252" 2 4 "a" 7 0 0 0 0 0 0 0 30 0 0 0 0 0 0
"253" 2 6 "d" 1 527 1 0 726 726 726 726 726 0 0 0 0 0 726
"254" 2 6 "d" 2 242 1 242 242 242 242 242 968 0 0 0 0 0 242
"255" 2 6 "d" 3 254 1 0 1833 1833 1833 1833 2801 0 0 0 0 0 1833
"256" 2 6 "d" 4 0 0 0 0 0 0 0 2801 0 0 0 0 0 0
"257" 2 6 "d" 5 283 1 283 283 283 283 283 3084 0 0 0 0 0 283
"258" 2 6 "d" 6 205 1 0 609 609 609 609 3693 0 0 0 0 0 609
"259" 2 6 "d" 7 0 0 0 0 0 0 0 3693 0 0 0 0 0 0
"260" 2 7 "c" 1 359 1 359 359 359 359 359 359 0 0 0 0 0 359
"261" 2 7 "c" 2 301 1 301 301 301 301 301 660 0 0 0 0 0 301
"262" 2 7 "c" 3 206 1 0 387 387 387 387 1047 0 0 0 0 0 387
"263" 2 7 "c" 4 223 1 223 223 223 223 223 1270 0 0 0 0 0 223
"264" 2 7 "c" 5 0 0 0 0 0 0 0 1270 0 0 0 0 0 0
"265" 2 7 "c" 6 339 1 0 1891 1891 1891 1891 3161 0 0 0 0 0 1891
"266" 2 7 "c" 7 0 0 0 0 0 0 0 3161 0 0 0 0 0 0
"267" 2 8 "b" 1 206 1 0 603 603 603 603 603 0 0 0 0 0 603
"268" 2 8 "b" 2 373 1 0 1191 1191 1740 1191 1794 549 0 549 0 0 549
"269" 2 8 "b" 3 188 1 0 188 1010 1010 1559 3353 822 822 0 1 1 822
"270" 2 8 "b" 4 212 1 212 212 212 212 212 3565 0 0 0 0 0 212
"271" 2 8 "b" 5 0 0 0 0 0 0 0 3565 0 0 0 0 0 0
"272" 2 8 "b" 6 227 1 0 777 777 777 777 4342 0 0 0 0 0 777
"273" 2 8 "b" 7 0 0 0 0 0 0 0 4342 0 0 0 0 0 0
"274" 2 10 "a" 1 174 1 174 174 174 174 174 174 0 0 0 0 0 174
"275" 2 10 "a" 2 214 1 0 685 685 685 685 859 0 0 0 0 0 685
"276" 2 10 "a" 3 352 1 0 575 575 575 575 1434 0 0 0 0 0 575
"277" 2 10 "a" 4 0 0 0 0 0 0 0 1434 0 0 0 0 0 0
"278" 2 10 "a" 5 339 1 339 339 339 339 339 1773 0 0 0 0 0 339
"279" 2 10 "a" 6 159 1 0 3073 3073 3073 3073 4846 0 0 0 0 0 3073
"280" 2 10 "a" 7 0 0 0 0 0 0 0 4846 0 0 0 0 0 0
"281" 2 11 "d" 1 470 1 470 470 470 470 470 470 0 0 0 0 0 470
"282" 2 11 "d" 2 471 1 471 471 471 471 471 941 0 0 0 0 0 471
"283" 2 11 "d" 3 518 1 0 1536 1536 1536 1536 2477 0 0 0 0 0 1536
"284" 2 11 "d" 4 254 1 254 254 254 254 254 2731 0 0 0 0 0 254
"285" 2 11 "d" 5 0 0 0 0 0 0 0 2731 0 0 0 0 0 0
"286" 2 11 "d" 6 299 1 0 1309 1309 1309 1309 4040 0 0 0 0 0 1309
"287" 2 11 "d" 7 0 0 0 0 0 0 0 4040 0 0 0 0 0 0
"288" 2 12 "c" 1 210 1 0 1041 1041 1041 1041 1041 0 0 0 0 0 1041
"289" 2 12 "c" 2 332 1 332 332 332 332 332 1373 0 0 0 0 0 332
"290" 2 12 "c" 3 237 1 0 535 535 535 535 1908 0 0 0 0 0 535
"291" 2 12 "c" 4 370 1 370 370 370 370 370 2278 0 0 0 0 0 370
"292" 2 12 "c" 5 212 1 212 212 212 212 212 2490 0 0 0 0 0 212
