"subject" "trial" "experiment" "item" "condition" "accuracy" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "FPRC" "TRC" "LPRT"
2 19 "gug" 2 "c" 1 5 172 1 0 172 172 1036 172 2020 864 0 864 0 3 280
2 19 "gug" 2 "c" 1 9 280 1 280 280 280 280 280 2300 0 0 0 0 0 280
2 19 "gug" 2 "c" 1 10 176 1 0 176 176 440 176 2476 264 0 264 0 1 160
2 19 "gug" 2 "c" 1 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 19 "gug" 2 "c" 1 12 236 1 0 236 456 456 2940 5416 220 220 0 2 2 220
2 19 "gug" 2 "c" 1 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 19 "gug" 2 "c" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 19 "gug" 2 "c" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 23 "gug" 9 "b" 0 1 184 1 0 184 184 500 184 184 316 0 316 0 0 316
2 23 "gug" 9 "b" 0 2 296 1 0 296 296 564 296 480 268 0 268 0 0 268
2 23 "gug" 9 "b" 0 3 124 1 0 124 316 316 584 1064 192 192 0 1 1 192
2 23 "gug" 9 "b" 0 4 368 1 368 368 368 368 368 1432 0 0 0 0 0 368
2 23 "gug" 9 "b" 0 5 196 1 0 492 492 924 492 1924 432 0 432 0 0 268
2 23 "gug" 9 "b" 0 9 204 1 0 204 204 1640 204 2128 1436 0 1436 0 2 156
2 23 "gug" 9 "b" 0 10 224 1 0 224 224 1068 224 2352 844 0 844 0 2 188
2 23 "gug" 9 "b" 0 11 304 1 0 304 712 1280 1336 3688 976 408 568 1 2 140
2 23 "gug" 9 "b" 0 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 23 "gug" 9 "b" 0 13 128 1 0 128 372 372 3344 7032 244 244 0 3 3 60
2 23 "gug" 9 "b" 0 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 23 "gug" 9 "b" 0 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 26 "gug" 13 "b" 1 1 156 1 0 296 296 672 296 296 376 0 376 0 0 104
2 26 "gug" 13 "b" 1 2 284 1 0 284 284 1380 284 580 1096 0 1096 0 1 596
2 26 "gug" 13 "b" 1 3 272 1 0 272 272 1756 272 852 1484 0 1484 0 4 432
2 26 "gug" 13 "b" 1 4 200 1 0 200 468 1096 744 1596 896 268 628 1 2 76
2 26 "gug" 13 "b" 1 5 300 1 0 344 344 1272 344 1940 928 0 928 0 2 228
2 26 "gug" 13 "b" 1 9 412 1 0 412 608 1676 780 2720 1264 196 1068 1 2 204
2 26 "gug" 13 "b" 1 10 244 1 0 244 244 1016 244 2964 772 0 772 0 2 152
2 26 "gug" 13 "b" 1 11 224 1 0 224 224 1656 224 3188 1432 0 1432 0 2 164
2 26 "gug" 13 "b" 1 12 120 1 0 120 448 448 7784 10972 328 328 0 3 3 152
2 26 "gug" 13 "b" 1 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 26 "gug" 13 "b" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 26 "gug" 13 "b" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 30 "gug" 15 "d" 1 1 184 1 0 184 184 484 184 184 300 0 300 0 0 300
2 30 "gug" 15 "d" 1 2 264 1 0 264 264 556 264 448 292 0 292 0 0 88
2 30 "gug" 15 "d" 1 3 244 1 0 244 244 620 244 692 376 0 376 0 2 312
2 30 "gug" 15 "d" 1 4 276 1 0 276 692 1168 960 1652 892 416 476 1 1 256
2 30 "gug" 15 "d" 1 5 512 1 0 512 512 940 512 2164 428 0 428 0 2 212
2 30 "gug" 15 "d" 1 9 216 1 0 216 216 396 216 2380 180 0 180 0 1 180
2 30 "gug" 15 "d" 1 10 160 1 0 312 312 312 312 2692 0 0 0 0 0 312
2 30 "gug" 15 "d" 1 11 0 0 0 336 336 336 1420 4112 0 0 0 1 1 336
2 30 "gug" 15 "d" 1 12 172 1 172 172 172 172 2292 6404 0 0 0 1 1 172
