utt	subject	gender	StartTime	EndTime	Item	WorldBet	TargetConsonant	TargetVowel	Burst	VOT	VowelEnd	Notes	msVOT	msVowel	logVOT	logVowel
s9gt12mw_marw122	s9gt12mw	m	66.7793395853862	67.7783753499373	kahe5	ka3.che1	k	a	67.0477457301139	67.1145842781557	67.2851077097506	NA	66.8385480418436	237.361979636702	4.20227998059842	5.46958631617656
s9gt12mw_marw122	s9gt12mw	m	80.2015973532439	80.9400150922598	daxn3	da4.xiang4	d	a	80.2962416355172	80.3178904006047	80.4838662131519	NA	21.6487650874484	187.624577634679	3.07494841298094	5.23444303883679
s9gt12mw_marw122	s9gt12mw	m	82.4711459922783	83.2855773220753	gaol3	gao1.lou2	g	a	82.6282494994067	82.6545043731778	82.8080272108844	NA	26.2548737711654	179.777711477684	3.26785163927653	5.191721151493
s9gt12mw_marw122	s9gt12mw	m	103.09953632086	103.861690310665	dnhe5	dun1.zhe	d	u	103.285548461472	103.315619803477	103.424546485261	NA	30.0713420045042	138.998023788332	3.40357262535291	4.9344597156795
s9gt12mw_marw122	s9gt12mw	m	105.412543073578	106.232119624258	guto3	gu3.tou	g	u	105.589972131489	105.637548752834	105.780002267574	mb? @ 105.5980	47.5766213459394	190.03013608517	3.86234149239004	5.24718267055767
s9gt13mw_marw121	s9gt13mw	m	19.8322580509768	20.9328435157522	tnzi4	ting2.zi	t	i	20.0569049283349	20.1457105064248	20.2293140589569	mb @ 20.0625	88.8055780898469	172.409130621968	4.48644946435237	5.14987031867153
s9gt13mw_marw121	s9gt13mw	m	27.1236367551141	28.293008811438	gnzi4	gun4.zi	g	u	27.4937141253886	27.5321088435374	27.6272474174855	NB @ 27.4937	38.394718148794	133.533292096896	3.64791990192457	4.8943508257535
s9gt13mw_marw121	s9gt13mw	m	29.6675331919117	30.8025119524613	tazi4	tao1.zi	t	a	29.9032751785198	29.9894727891156	30.190291005291	NA	86.1976105958924	287.015826771249	4.45664245798027	5.65953735978358
s9gt13mw_marw121	s9gt13mw	m	41.9803330790869	42.9777386565396	dnga5	dan4.gao1	d	a	42.2039335238255	42.2184769463341	42.3150939423388	mb @ 42.2096	14.5434225085452	111.160418513293	2.67713883013863	4.71097436983027
s9gt13mw_marw121	s9gt13mw	m	51.2321296423554	52.367108402905	tudo3	tu3.dou4	t	u	51.5394855046862	51.6222789115646	51.7137800453515	NA	82.7934068784515	174.294540665294	4.41634843114897	5.16074663055119
