Pre-test LatSq-list subj-ID item-ID cond verb
1 1 H 19 c dadan
1 1 K-V 19 c dadan
1 1 A 19 c hedie-dadan
1 1 H-CH 19 c hedie-dadan
1 1 M 19 c hedie-dadan
1 1 M-V 19 c hedie-dadan
1 1 R- 19 c hedie-dadan
1 1 R-G 19 c hedie-kardan
1 4 M 19 d dadan
1 4 M2 19 d dadan
1 4 N 19 d dadan
1 4 R 19 d dadan
1 4 SM-M 19 d dadan
1 4 V 19 d dadan
1 4 A-GH 19 d hedie-kardan
1 4 H 19 d hedie-kardan
1 4 SM-M 20 a dadan
1 4 A-GH 20 a kardan
1 4 H 20 a kardan
1 4 M 20 a kardan
1 4 M2 20 a kardan
1 4 N 20 a kardan
1 4 R 20 a kardan
1 4 V 20 a kardan
1 3 B-N 20 b dadan
1 3 M-Z 20 b dadan
1 3 S-R 20 b goftan
1 3 S-GH2 20 b hedie-dadan
1 3 M-A 20 b kardan
1 3 N-KH 20 b kardan
1 3 ZH-Z 20 b kardan
1 3 S-GH- 20 b moarefi-kardan
1 2 D-KH 20 c dadan
1 2 N 20 c dadan
1 2 S 20 c dadan
1 2 S-A-E 20 c dadan
1 2 T-D 20 c dadan
1 2 M-CH 20 c email-kardan
1 2 SH-H 20 c erae-kardan
1 2 S-A- 20 c moarefi-kardan
1 1 M-V 20 d amanat-dadan
1 1 A 20 d dadan
1 1 H 20 d dadan
1 1 H-CH 20 d dadan
1 1 R- 20 d dadan
1 1 R-G 20 d dadan
1 1 K-V 20 d email-kardan
1 1 M 20 d neshan-dadan
1 1 A 21 a dadan
1 1 H 21 a dadan
1 1 H-CH 21 a dadan
1 1 K-V 21 a dadan
1 1 M 21 a dadan
1 1 M-V 21 a dadan
1 1 R- 21 a dadan
1 1 R-G 21 a dadan
1 4 H 21 b dadan
1 4 M 21 b dadan
1 4 M2 21 b dadan
1 4 N 21 b dadan
1 4 R 21 b dadan
1 4 V 21 b dadan
1 4 SM-M 21 b gushzad-kardan
1 4 A-GH 21 b motezaker-shodan
1 3 B-N 21 c dadan
1 3 N-KH 21 c dadan
1 3 S-GH- 21 c dadan
1 3 S-GH2 21 c dadan
1 3 S-R 21 c dadan
1 3 ZH-Z 21 c dadan
1 3 M-Z 21 c neshan-dadan
1 3 M-A 21 c pishnehad-dadan
1 2 D-KH 21 d dadan
1 2 M-CH 21 d dadan
1 2 N 21 d dadan
1 2 S 21 d dadan
1 2 S-A- 21 d dadan
1 2 SH-H 21 d dadan
1 2 T-D 21 d dadan
1 2 S-A-E 21 d resandan
1 2 S-A-E 22 a dadan
1 2 SH-H 22 a dadan
1 2 D-KH 22 a kardan
1 2 M-CH 22 a kardan
1 2 N 22 a kardan
1 2 S 22 a kardan
1 2 S-A- 22 a kardan
1 2 T-D 22 a kardan
1 1 A 22 b dadan
1 1 H 22 b dadan
1 1 H-CH 22 b dadan
1 1 M 22 b dadan
1 1 R-G 22 b dadan
1 1 K-V 22 b kardan
1 1 M-V 22 b kardan
1 1 R- 22 b kardan
1 4 A-GH 22 c dadan
1 4 H 22 c dadan
1 4 M 22 c dadan
1 4 M2 22 c dadan
