ID	exp	item	condition	CL 	BEI	aligned.position	region	correct	RT
8	e5	2	a	noCL	noBEI	3	3	-	410
8	e5	2	a	noCL	noBEI	4	4	-	983
8	e5	2	a	noCL	noBEI	5	5	-	386
8	e5	2	a	noCL	noBEI	6	6	-	538
8	e5	2	a	noCL	noBEI	?	?	1	4375
8	e5	6	a	noCL	noBEI	0	0	-	411
8	e5	6	a	noCL	noBEI	1	1	-	362
8	e5	6	a	noCL	noBEI	2	2	-	363
8	e5	6	a	noCL	noBEI	3	3	-	1262
8	e5	6	a	noCL	noBEI	4	4	-	354
8	e5	6	a	noCL	noBEI	5	5	-	418
8	e5	6	a	noCL	noBEI	6	6	-	530
8	e5	6	a	noCL	noBEI	?	?	1	2617
8	e5	10	a	noCL	noBEI	0	0	-	498
8	e5	10	a	noCL	noBEI	1	1	-	410
8	e5	10	a	noCL	noBEI	2	2	-	466
8	e5	10	a	noCL	noBEI	3	3	-	2631
8	e5	10	a	noCL	noBEI	4	4	-	394
8	e5	10	a	noCL	noBEI	5	5	-	442
8	e5	10	a	noCL	noBEI	6	6	-	474
8	e5	10	a	noCL	noBEI	?	?	1	3237
8	e5	14	a	noCL	noBEI	0	0	-	490
8	e5	14	a	noCL	noBEI	1	1	-	402
8	e5	14	a	noCL	noBEI	2	2	-	434
8	e5	14	a	noCL	noBEI	3	3	-	800
8	e5	14	a	noCL	noBEI	4	4	-	1652
8	e5	14	a	noCL	noBEI	5	5	-	346
8	e5	14	a	noCL	noBEI	6	6	-	538
8	e5	14	a	noCL	noBEI	?	?	1	1399
8	e5	18	a	noCL	noBEI	0	0	-	689
8	e5	18	a	noCL	noBEI	1	1	-	489
8	e5	18	a	noCL	noBEI	2	2	-	585
8	e5	18	a	noCL	noBEI	3	3	-	3124
8	e5	18	a	noCL	noBEI	4	4	-	410
8	e5	18	a	noCL	noBEI	5	5	-	370
8	e5	18	a	noCL	noBEI	6	6	-	601
8	e5	18	a	noCL	noBEI	?	?	1	1996
8	e5	22	a	noCL	noBEI	0	0	-	538
8	e5	22	a	noCL	noBEI	1	1	-	689
8	e5	22	a	noCL	noBEI	2	2	-	450
8	e5	22	a	noCL	noBEI	3	3	-	1620
8	e5	22	a	noCL	noBEI	4	4	-	1517
8	e5	22	a	noCL	noBEI	5	5	-	450
8	e5	22	a	noCL	noBEI	6	6	-	864
8	e5	22	a	noCL	noBEI	?	?	1	2274
9	e5	1	a	noCL	noBEI	0	0	-	522
9	e5	1	a	noCL	noBEI	1	1	-	514
