"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"400" "NP3" 20 "e1a" 1 "d" 8 "peasant" "rt" 729 "ungram" "lo" -1 -1 -1 "english" "spr"
"402" "NP3" 20 "e1a" 7 "b" 8 "stranger" "rt" 658 "gram" "lo" 1 -1 1 "english" "spr"
"404" "NP3" 20 "e1a" 13 "d" 8 "worker" "rt" 866 "ungram" "lo" -1 -1 -1 "english" "spr"
"406" "NP3" 20 "e1a" 5 "d" 8 "father" "rt" 946 "ungram" "lo" -1 -1 -1 "english" "spr"
"408" "NP3" 20 "e1a" 10 "a" 8 "guard" "rt" 522 "gram" "hi" 1 1 -1 "english" "spr"
"410" "NP3" 20 "e1a" 16 "c" 8 "friend" "rt" 818 "ungram" "hi" -1 1 1 "english" "spr"
"412" "NP3" 20 "e1a" 3 "b" 8 "foreman" "rt" 362 "gram" "lo" 1 -1 1 "english" "spr"
"414" "NP3" 20 "e1a" 11 "b" 8 "visitor" "rt" 730 "gram" "lo" 1 -1 1 "english" "spr"
"416" "NP3" 20 "e1a" 12 "c" 8 "teacher" "rt" 634 "ungram" "hi" -1 1 1 "english" "spr"
"418" "NP3" 21 "e1a" 1 "a" 8 "peasant" "rt" 2578 "gram" "hi" 1 1 -1 "english" "spr"
"420" "NP3" 21 "e1a" 13 "a" 8 "worker" "rt" 1698 "gram" "hi" 1 1 -1 "english" "spr"
"422" "NP3" 21 "e1a" 9 "a" 8 "bystander" "rt" 1658 "gram" "hi" 1 1 -1 "english" "spr"
"424" "NP3" 21 "e1a" 4 "d" 8 "professor" "rt" 1066 "ungram" "lo" -1 -1 -1 "english" "spr"
"426" "NP3" 21 "e1a" 10 "b" 8 "guard" "rt" 1154 "gram" "lo" 1 -1 1 "english" "spr"
"428" "NP3" 21 "e1a" 7 "c" 8 "stranger" "rt" 1178 "ungram" "hi" -1 1 1 "english" "spr"
"430" "NP3" 21 "e1a" 5 "a" 8 "father" "rt" 1218 "gram" "hi" 1 1 -1 "english" "spr"
"432" "NP3" 21 "e1a" 3 "c" 8 "foreman" "rt" 1034 "ungram" "hi" -1 1 1 "english" "spr"
"434" "NP3" 21 "e1a" 12 "d" 8 "teacher" "rt" 1106 "ungram" "lo" -1 -1 -1 "english" "spr"
"436" "NP3" 21 "e1a" 6 "b" 8 "conductor" "rt" 1817 "gram" "lo" 1 -1 1 "english" "spr"
"438" "NP3" 21 "e1a" 15 "c" 8 "peasant" "rt" 914 "ungram" "hi" -1 1 1 "english" "spr"
