"subject" "participant" "id" "cond" "resp" "roi" "dist" "pred" "pred.dist" "nopred.dist"
"3281" "13" "mk" 10 "d" 1 1 1 1 0 1
"3289" "13" "mk" 9 "a" 1 1 -1 -1 -1 0
"3297" "13" "mk" 32 "a" 1 1 -1 -1 -1 0
"3305" "14" "mmi" 11 "b" 1 1 1 -1 1 0
"3313" "14" "mmi" 5 "d" 1 1 1 1 0 1
"3321" "14" "mmi" 28 "c" 1 1 -1 1 0 -1
"3329" "14" "mmi" 22 "d" 0 1 1 1 0 1
"3337" "14" "mmi" 4 "a" 1 1 -1 -1 -1 0
"3345" "14" "mmi" 2 "c" 1 1 -1 1 0 -1
"3353" "14" "mmi" 29 "c" 1 1 -1 1 0 -1
"3361" "14" "mmi" 21 "a" 1 1 -1 -1 -1 0
"3369" "14" "mmi" 15 "c" 1 1 -1 1 0 -1
"3377" "14" "mmi" 30 "b" 1 1 1 -1 1 0
"3385" "14" "mmi" 25 "b" 1 1 1 -1 1 0
"3393" "14" "mmi" 27 "d" 1 1 1 1 0 1
"3401" "14" "mmi" 18 "d" 1 1 1 1 0 1
"3409" "14" "mmi" 13 "a" 1 1 -1 -1 -1 0
"3417" "14" "mmi" 12 "a" 1 1 -1 -1 -1 0
"3425" "14" "mmi" 23 "d" 1 1 1 1 0 1
"3433" "14" "mmi" 19 "c" 1 1 -1 1 0 -1
"3441" "14" "mmi" 17 "a" 1 1 -1 -1 -1 0
"3449" "14" "mmi" 16 "b" 1 1 1 -1 1 0
"3457" "14" "mmi" 26 "a" 1 1 -1 -1 -1 0
"3465" "14" "mmi" 6 "c" 1 1 -1 1 0 -1
"3473" "14" "mmi" 14 "d" 1 1 1 1 0 1
"3481" "14" "mmi" 3 "b" 1 1 1 -1 1 0
"3489" "14" "mmi" 7 "b" 1 1 1 -1 1 0
"3497" "14" "mmi" 8 "a" 1 1 -1 -1 -1 0
"3505" "14" "mmi" 31 "a" 1 1 -1 -1 -1 0
"3513" "14" "mmi" 20 "b" 1 1 1 -1 1 0
"3521" "14" "mmi" 24 "c" 1 1 -1 1 0 -1
