"subject" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"273" "az" 3 "a" 1 196 1 196 196 196 196 196 196 0 0 0 0 0 196
"274" "az" 3 "a" 2 227 1 0 491 491 491 491 687 0 0 0 0 0 491
"275" "az" 3 "a" 3 239 1 0 748 748 748 748 1435 0 0 0 0 0 748
"276" "az" 3 "a" 4 300 1 300 300 300 300 300 1735 0 0 0 0 0 300
"277" "az" 3 "a" 5 258 1 258 258 258 258 258 1993 0 0 0 0 0 258
"278" "az" 3 "a" 6 0 0 0 0 0 0 0 1993 0 0 0 0 0 0
"279" "az" 3 "a" 7 420 1 0 707 707 707 707 2700 0 0 0 0 0 707
"280" "az" 3 "a" 8 0 0 0 0 0 0 0 2700 0 0 0 0 0 0
"281" "az" 4 "d" 1 193 1 0 415 415 415 415 415 0 0 0 0 0 415
"282" "az" 4 "d" 2 972 1 0 1100 1100 1509 1100 1515 409 0 409 0 0 409
"283" "az" 4 "d" 3 313 1 0 313 313 1020 313 1828 707 0 707 0 0 267
"284" "az" 4 "d" 4 202 1 0 202 202 576 202 2030 374 0 374 0 1 132
"285" "az" 4 "d" 5 0 0 0 0 0 0 0 2030 0 0 0 0 0 0
"286" "az" 4 "d" 6 185 1 0 632 1540 1540 3030 5060 908 908 0 3 3 541
"287" "az" 4 "d" 7 0 0 0 0 0 0 0 5060 0 0 0 0 0 0
"288" "az" 4 "d" 8 0 0 0 0 0 0 0 5060 0 0 0 0 0 0
"289" "az" 6 "c" 1 186 1 0 623 623 878 623 623 255 0 255 0 0 255
"290" "az" 6 "c" 2 148 1 0 148 451 451 706 1329 303 303 0 1 1 303
"291" "az" 6 "c" 3 384 1 0 1051 1051 1051 1051 2380 0 0 0 0 0 1051
"292" "az" 6 "c" 4 278 1 0 425 425 622 425 2805 197 0 197 0 0 197
"293" "az" 6 "c" 5 189 1 0 189 490 490 687 3492 301 301 0 1 1 301
"294" "az" 6 "c" 6 0 0 0 0 0 0 0 3492 0 0 0 0 0 0
"295" "az" 6 "c" 7 0 0 0 0 0 0 0 3492 0 0 0 0 0 0
"296" "az" 6 "c" 8 0 0 0 0 0 0 0 3492 0 0 0 0 0 0
"297" "az" 7 "b" 1 211 1 0 378 378 378 378 378 0 0 0 0 0 378
"298" "az" 7 "b" 2 364 1 364 364 364 364 364 742 0 0 0 0 0 364
