subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
de5, i5, 41, 4, 1, 12, 5.918894, 6.748760, 6.606650, 6.200509, 6.148468, 6.077642, 6.077642, 6.042633
de5, i6, 47, 5, -1, 12, 7.258412, NaN, 6.562444, 5.852202, 6.794587, 6.131226, 7.778630, 6.756932
de5, i7, 49, 5, 1, 12, 6.001415, 6.699500, 6.455199, 6.638568, 6.336826, 6.198479, 5.758902, 5.703782
de5, i2, 54, 6, -1, 12, 6.230481, NaN, 6.444131, 5.918894, 6.416732, 7.339538, 6.095825, 8.049427
de5, i13, 59, 6, 1, 12, 6.480045, 7.846199, 6.699500, 7.200425, 6.230481, 6.021023, 7.409742, 6.469250
de5, i11, 61, 7, 1, 12, 7.163947, 6.784457, 6.679599, 5.852202, 5.897154, 7.370231, 5.981414, 6.276643
de5, i8, 65, 8, -1, 12, 6.216606, NaN, 6.165418, 5.913503, 6.320768, 5.940171, 5.808142, 6.001415
de5, i4, 67, 8, -1, 12, 5.983936, NaN, 6.710523, 6.079933, 7.176255, 5.852202, 5.828946, 6.363028
de6, i13, 7, 0, -1, 9, 6.504288, NaN, 6.416732, 6.198479, 6.376727, 6.131226, 6.442540, 6.308098
de6, i16, 11, 0, 1, 9, 6.133398, 6.363028, 6.405228, 6.001415, 6.148468, 6.095825, 5.981414, 6.828712
de6, i6, 13, 1, 1, 9, 6.821107, 6.111467, 6.492240, 6.040255, 6.248043, 6.021023, 5.897154, 6.261492
de6, i4, 18, 2, 1, 9, 6.001415, 6.261492, 6.113682, 6.276643, 6.376727, 6.131226, 6.042633, 6.335054
de6, i10, 20, 3, 1, 9, 6.230481, 6.246107, 6.480045, 5.981414, 6.679599, 6.131226, 6.040255, 6.320768
de6, i5, 23, 4, -1, 9, 5.983936, NaN, 6.480045, 6.079933, 6.182085, 6.077642, 5.981414, 6.335054
de6, i3, 27, 4, -1, 9, 6.200509, NaN, 6.306275, 6.131226, 6.291569, 6.230481, 6.148468, 6.278521
de6, i1, 30, 4, -1, 9, 5.961005, NaN, 6.095825, 6.131226, 6.115892, 6.165418, 6.230481, 6.278521
de6, i15, 34, 4, -1, 9, 6.131226, NaN, 6.113682, 6.278521, 6.261492, 6.214608, 6.148468, 6.198479
de6, i12, 38, 4, 1, 9, 5.918894, 6.230481, 6.429719, 6.001415, 6.364751, 6.182085, 6.679599, 6.887553
de6, i8, 42, 5, 1, 9, 5.918894, 6.306275, 6.115892, 6.131226, 6.214608, 5.981414, 6.001415, 6.659294
de6, i9, 48, 6, -1, 9, 6.276643, NaN, 6.131226, 5.918894, 6.214608, 5.963579, 6.023448, 5.981414
de6, i2, 54, 6, 1, 9, 6.077642, 6.562444, 6.098074, 6.113682, 5.961005, 6.291569, 6.021023, 6.261492
de6, i11, 58, 7, -1, 9, 6.710523, NaN, 6.361302, 6.445720, 6.077642, 6.098074, 6.095825, 6.700731
de6, i7, 61, 7, -1, 9, 6.059123, NaN, 6.095825, 6.131226, 6.349139, 6.113682, 6.059123, 6.648985
de6, i14, 68, 7, 1, 9, 6.261492, 6.442540, 5.940171, 6.095825, 6.001415, 6.021023, 6.001415, 5.918894
de7, i16, 2, 0, -1, 9, 7.018402, NaN, 6.802395, 6.198479, 6.606650, 6.442540, 6.291569, 6.879356
de7, i1, 14, 0, 1, 9, 6.214608, 6.276643, 6.973543, 6.077642, 7.182352, 6.214608, 6.040255, 6.320768
de7, i11, 21, 1, 1, 9, 6.527958, 6.584791, 6.291569, 6.059123, 6.214608, 5.961005, 5.940171, 6.335054
de7, i9, 27, 2, 1, 9, 6.349139, 6.077642, 6.291569, 6.966024, 6.040255, 5.918894, 5.961005, 6.527958
de7, i3, 30, 3, 1, 9, 6.148468, 6.527958, 6.037871, 6.079933, 6.562444, 5.983936, 5.940171, 6.888572
de7, i14, 34, 4, -1, 9, 6.391917, NaN, 6.376727, 5.940171, 6.276643, 5.897154, 5.828946, 6.467699
de7, i5, 39, 4, 1, 9, 6.131226, 6.879356, 6.003887, 6.148468, 6.133398, 5.828946, 5.780744, 6.182085
de7, i10, 41, 5, -1, 9, 6.429719, NaN, 6.467699, 6.429719, 6.182085, 6.349139, 5.828946, 6.845880
de7, i13, 46, 5, 1, 9, 7.052721, 5.918894, 6.042633, 6.480045, 5.897154, 6.113682, 5.874931, 6.198479
de7, i6, 50, 6, -1, 9, 7.052721, NaN, 6.182085, 6.113682, 6.306275, 6.023448, 6.042633, 6.887553
de7, i12, 57, 6, -1, 9, 6.077642, NaN, 6.728629, 6.551080, 6.775366, 6.429719, 5.805135, 6.699500
de7, i15, 59, 6, 1, 9, 6.403574, 6.077642, 6.403574, 5.918894, 6.021023, 6.040255, 5.940171, 6.854355
de7, i8, 61, 7, -1, 9, 6.950815, NaN, 6.077642, 6.182085, 5.897154, 6.001415, 5.780744, 6.670766
de7, i4, 65, 7, -1, 9, 6.001415, NaN, 6.562444, 6.551080, 5.831882, 5.940171, 6.679599, 5.877736
de7, i7, 67, 7, 1, 9, 5.852202, 6.214608, 6.214608, 6.165418, 6.095825, 6.001415, 5.805135, 6.467699
de7, i2, 71, 8, -1, 9, 6.021023, NaN, 5.852202, 6.403574, 5.805135, 5.942799, 5.730100, 6.595781
