subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
nl4, i3, 59, 6, -1, 28, 6.352629, NaN, 6.025866, 6.006353, 6.234411, 6.100319, 5.902633, 5.966147
nl4, i8, 62, 6, 1, 28, 6.025866, 6.006353, 6.295266, 7.439559, 6.295266, 6.309918, 6.082219, 6.186209
nl4, i6, 67, 7, 1, 28, 6.100319, 6.006353, 6.295266, 7.047517, 6.249975, 6.045005, 5.986452, 6.063785
nl4, i15, 70, 8, -1, 28, 5.945421, NaN, 5.966147, 5.902633, 6.169611, 6.152733, 6.025866, 6.118097
nl6, i11, 2, 0, -1, 28, 6.436150, NaN, 6.383507, 6.122493, 6.287859, 6.156979, 6.173786, 6.137727
nl6, i12, 5, 0, 1, 28, 5.645447, 6.016157, 6.011267, 6.016157, 6.597146, 6.040255, 5.545177, 5.780744
nl6, i14, 10, 1, 1, 28, 5.384495, 5.707110, 5.991465, 5.484797, 5.966147, 5.726848, 5.703782, 5.726848
nl6, i4, 14, 2, 1, 28, 5.894403, 5.948035, 5.913503, 5.762051, 5.746203, 5.717028, 5.648974, 5.703782
nl6, i15, 23, 3, -1, 28, 5.267858, NaN, 5.411646, 5.468060, 5.505332, 5.446737, 5.533389, 5.652489
nl6, i8, 26, 3, 1, 28, 5.459586, 5.537334, 5.402677, 5.393628, 5.501258, 5.517453, 5.579730, 5.476464
nl6, i6, 35, 4, 1, 28, 5.463832, 5.843544, 5.849325, 5.298317, 5.624018, 5.298317, 5.288267, 5.605802
nl6, i5, 41, 5, -1, 28, 5.288267, NaN, 5.351858, 5.318120, 5.293305, 5.420535, 5.411646, 5.342334
nl6, i16, 43, 5, 1, 28, 5.231109, 5.176150, 5.170484, 5.241747, 5.273000, 5.257495, 5.252273, 5.273000
nl6, i9, 48, 6, -1, 28, 5.209486, NaN, 5.247024, 5.225747, 5.262690, 5.252273, 5.257495, 5.323010
