"subj" "item" "cond" "pos" "resp" "rt" "roi"
"1576" 4 8 "c" "?" "1" 3939 NA
"1593" 4 2 "a" "0" "-" 420 "predep"
"1594" 4 2 "a" "1" "-" 391 "dep"
"1595" 4 2 "a" "2" "-" 423 "precrit"
"1596" 4 2 "a" "3" "-" 404 "precrit"
"1597" 4 2 "a" "4" "-" 689 "crit"
"1598" 4 2 "a" "5" "-" 395 "postcrit"
"1599" 4 2 "a" "6" "-" 419 "post"
"1600" 4 2 "a" "7" "-" 392 "post"
"1601" 4 2 "a" "8" "-" 478 "post"
"1602" 4 2 "a" "9" "-" 304 "post"
"1603" 4 2 "a" "10" "-" 391 "post"
"1604" 4 2 "a" "?" "1" 4629 NA
"1660" 4 12 "c" "0" "-" 375 "predep"
"1661" 4 12 "c" "1" "-" 321 "dep"
"1662" 4 12 "c" "2" "-" 331 "precrit"
"1663" 4 12 "c" "3" "-" 368 "precrit"
"1664" 4 12 "c" "4" "-" 330 "crit"
"1665" 4 12 "c" "5" "-" 349 "postcrit"
"1666" 4 12 "c" "6" "-" 360 "post"
"1667" 4 12 "c" "7" "-" 374 "post"
"1668" 4 12 "c" "8" "-" 372 "post"
"1669" 4 12 "c" "9" "-" 639 "post"
"1670" 4 12 "c" "?" "1" 4257 NA
"1691" 4 18 "a" "0" "-" 415 "predep"
"1692" 4 18 "a" "1" "-" 423 "dep"
"1693" 4 18 "a" "2" "-" 413 "precrit"
"1694" 4 18 "a" "3" "-" 476 "precrit"
"1695" 4 18 "a" "4" "-" 578 "crit"
"1696" 4 18 "a" "5" "-" 399 "postcrit"
"1697" 4 18 "a" "6" "-" 410 "post"
"1698" 4 18 "a" "7" "-" 397 "post"
"1699" 4 18 "a" "8" "-" 508 "post"
"1700" 4 18 "a" "?" "1" 2064 NA
"1723" 4 20 "c" "0" "-" 379 "predep"
"1724" 4 20 "c" "1" "-" 357 "dep"
"1725" 4 20 "c" "2" "-" 431 "precrit"
"1726" 4 20 "c" "3" "-" 467 "precrit"
"1727" 4 20 "c" "4" "-" 575 "crit"
"1728" 4 20 "c" "5" "-" 424 "postcrit"
"1729" 4 20 "c" "6" "-" 417 "post"
"1730" 4 20 "c" "7" "-" 431 "post"
"1731" 4 20 "c" "8" "-" 383 "post"
"1732" 4 20 "c" "9" "-" 428 "post"
"1733" 4 20 "c" "10" "-" 452 "post"
"1734" 4 20 "c" "?" "1" 2340 NA
"1773" 4 22 "a" "0" "-" 65 "predep"
"1774" 4 22 "a" "1" "-" 703 "dep"
"1775" 4 22 "a" "2" "-" 603 "precrit"
"1776" 4 22 "a" "3" "-" 402 "precrit"
"1777" 4 22 "a" "4" "-" 465 "crit"
"1778" 4 22 "a" "5" "-" 372 "postcrit"
"1779" 4 22 "a" "6" "-" 443 "post"
"1780" 4 22 "a" "7" "-" 409 "post"
"1781" 4 22 "a" "8" "-" 381 "post"
"1782" 4 22 "a" "?" "1" 2301 NA
"1878" 4 19 "b" "0" "-" 254 "predep"
"1879" 4 19 "b" "1" "-" 342 "dep"
"1880" 4 19 "b" "2" "-" 421 "precrit"
"1881" 4 19 "b" "3" "-" 364 "precrit"
"1882" 4 19 "b" "4" "-" 424 "precrit"
"1883" 4 19 "b" "5" "-" 521 "precrit"
"1884" 4 19 "b" "6" "-" 697 "crit"
"1885" 4 19 "b" "7" "-" 465 "postcrit"
"1886" 4 19 "b" "8" "-" 549 "post"
"1887" 4 19 "b" "9" "-" 399 "post"
"1888" 4 19 "b" "?" "0" 3714 NA
"1946" 4 6 "a" "0" "-" 171 "predep"
"1947" 4 6 "a" "1" "-" 1109 "dep"
"1948" 4 6 "a" "2" "-" 457 "precrit"
"1949" 4 6 "a" "3" "-" 566 "precrit"
"1950" 4 6 "a" "4" "-" 399 "crit"
"1951" 4 6 "a" "5" "-" 384 "postcrit"
"1952" 4 6 "a" "6" "-" 397 "post"
"1953" 4 6 "a" "7" "-" 418 "post"
"1954" 4 6 "a" "?" "1" 1520 NA
"2016" 4 13 "d" "0" "-" 332 "predep"
"2017" 4 13 "d" "1" "-" 406 "dep"
"2018" 4 13 "d" "2" "-" 342 "precrit"
"2019" 4 13 "d" "3" "-" 385 "precrit"
"2020" 4 13 "d" "4" "-" 451 "precrit"
"2021" 4 13 "d" "5" "-" 520 "precrit"
"2022" 4 13 "d" "6" "-" 420 "crit"
"2023" 4 13 "d" "7" "-" 395 "postcrit"
"2024" 4 13 "d" "8" "-" 366 "post"
"2025" 4 13 "d" "9" "-" 408 "post"
"2026" 4 13 "d" "10" "-" 373 "post"
"2027" 4 13 "d" "11" "-" 577 "post"
"2028" 4 13 "d" "12" "-" 383 "post"
"2029" 4 13 "d" "13" "-" 441 "post"
"2030" 4 13 "d" "?" "0" 1998 NA
"2044" 4 35 "b" "0" "-" 469 "predep"
"2045" 4 35 "b" "1" "-" 454 "dep"
"2046" 4 35 "b" "2" "-" 569 "precrit"
"2047" 4 35 "b" "3" "-" 613 "precrit"
"2048" 4 35 "b" "4" "-" 517 "precrit"
"2049" 4 35 "b" "5" "-" 402 "precrit"
"2050" 4 35 "b" "6" "-" 369 "crit"
"2051" 4 35 "b" "7" "-" 435 "postcrit"
"2052" 4 35 "b" "8" "-" 383 "post"
"2053" 4 35 "b" "9" "-" 371 "post"
"2054" 4 35 "b" "10" "-" 515 "post"
"2055" 4 35 "b" "11" "-" 435 "post"
"2056" 4 35 "b" "12" "-" 352 "post"
"2057" 4 35 "b" "13" "-" 429 "post"
"2058" 4 35 "b" "14" "-" 385 "post"
"2059" 4 35 "b" "?" "1" 2525 NA
"2092" 4 32 "c" "0" "-" 317 "predep"
"2093" 4 32 "c" "1" "-" 359 "dep"
