"word_position"	"item"	"word"	"type_freq"
24	57	"obwohl"	90.1057206938
25	57	"dieser"	1140.7505231
26	57	"ein"	4999.44503476
27	57	"kleines"	42.0199060394
28	57	"Vermögen"	28.2530730102
29	57	"kostete"	7.9543518631
1	58	"Durch"	118.816598128
2	58	"gezieltes"	0.228902211888
3	58	"Renovieren"	0.0817507899599
4	58	"des"	7101.07799289
5	58	"blaugestrichenen"	0.016350157992
6	58	"Bads"	0.024525236988
7	58	"konnte"	454.861395337
8	58	"der"	26530.3631386
9	58	"Handwerker"	11.2652588565
10	58	"der"	26530.3631386
11	58	"Wohnung"	69.0140168842
12	58	"des"	7101.07799289
13	58	"Pensionärs"	0.016350157992
14	58	"neuen"	332.774765611
15	58	"Glanz"	18.6964056638
16	58	"verleihen"	10.6112525368
1	59	"Weil"	49.4755780837
2	59	"der"	26530.3631386
3	59	"Mitarbeiter"	31.1961014487
4	59	"der"	26530.3631386
5	59	"Zentralbank"	2.37894798783
6	59	"seinem"	506.552419829
7	59	"Vorgesetzten"	10.0471720861
8	59	"Misswirtschaft"	0.049050473976
9	59	"anlastete"	0.016350157992
10	59	"wurde"	1350.62932616
11	59	"er"	4943.65829569
12	59	"von"	7955.34104766
13	59	"seinen"	631.36952594
14	59	"Kollegen"	34.0655541763
15	59	"aus"	2877.24357788
16	59	"dem"	5616.24656993
17	59	"Amt"	55.5251365408
18	59	"gejagt"	3.6624353902
19	59	"obwohl"	90.1057206938
20	59	"er"	4943.65829569
21	59	"das"	7683.24989344
22	59	"nicht"	6717.74853877
23	59	"verdient"	29.9207891253
24	59	"hatte"	1622.81040626
1	60	"Das"	1740.04103906
2	60	"Schulkind"	0.719406951647
3	60	"hat"	2369.4648962
4	60	"heute"	436.688194729
5	60	"wieder"	1064.2317837
6	60	"den"	9841.63424996
7	60	"Unterricht"	26.1439026292
8	60	"geschwänzt"	0.2043769749
9	60	"und"	22313.7473183
10	60	"sich"	6557.46793998
11	60	"stattdessen"	2.043769749
12	60	"auf"	5591.37797963
13	60	"dem"	5616.24656993
14	60	"Jahrmarkt"	1.58596532522
15	60	"herumgetrieben"	0.604955845703
16	60	"was"	1190.99455861
17	60	"den"	9841.63424996
18	60	"Eltern"	84.3913404756
19	60	"überhaupt"	243.004223156
20	60	"nicht"	6717.74853877
21	60	"behagte"	0.719406951647
1	61	"Der"	2185.87714719
2	61	"greise"	1.56144008823
3	61	"Patenonkel"	0.0899258689559
4	61	"ist"	6201.98280491
5	61	"vor"	1691.52194522
6	61	"ein"	4999.44503476
7	61	"paar"	151.639540297
8	61	"Jahren"	348.315590782
9	61	"unerwartet"	6.24576035294
10	61	"verstorben"	1.8312176951
11	61	"leider"	56.0646917545
12	61	"jedoch"	296.019610445
13	61	"ohne"	726.592846085
14	61	"seinem"	506.552419829
15	61	"Patenkind"	0.261602527872
16	61	"ein"	4999.44503476
17	61	"Vermögen"	28.2530730102
18	61	"zu"	8897.95218113
19	61	"hinterlassen"	10.9055553807
1	62	"Der"	2185.87714719
2	62	"Wissenschaftler"	14.306388243
3	62	"wird"	2347.81728702
4	62	"heute"	436.688194729
5	62	"einen"	2019.39166343
6	62	"wichtigen"	37.0576330888
7	62	"Versuch"	76.7885170094
8	62	"durchführen"	12.4097699159
9	62	"der"	26530.3631386
10	62	"ihn"	1082.59301112
11	62	"weltweit"	5.2974511894
12	62	"berühmt"	8.58383294579
13	62	"machen"	423.861495784
14	62	"könnte"	237.853923388
15	62	"falls"	39.5019817086
16	62	"er"	4943.65829569
17	62	"erfolgreich"	22.2934404221
18	62	"verlaufen"	11.7966389912
19	62	"sollte"	343.524994491
1	63	"Dass"	5.55087863828
2	63	"der"	26530.3631386
3	63	"Manager"	5.37920197936
4	63	"den"	9841.63424996
5	63	"Posten"	35.2427655517
6	63	"behält"	10.3741752459
7	63	"hat"	2369.4648962
8	63	"der"	26530.3631386
9	63	"verblüffte"	0.678531556667
10	63	"Vorstand"	13.6115065283
11	63	"eingeräumt"	7.02239285756
12	63	"als"	4153.65136184
13	63	"die"	24520.1275636
14	63	"Aktionärsversammlung"	0.024525236988
15	63	"zu"	8897.95218113
16	63	"Ende"	278.320564419
17	63	"ging"	309.124262075
1	64	"Dass"	5.55087863828
2	64	"der"	26530.3631386
3	64	"Terrorist"	0.392403791808
4	64	"den"	9841.63424996
5	64	"Anschlag"	8.05245281105
6	64	"verübt"	6.31116098491
7	64	"hat"	2369.4648962
8	64	"der"	26530.3631386
9	64	"bestürzte"	0.335178238836
10	64	"Polizist"	4.83964676563
11	64	"befürchtet"	4.51264360579
12	64	"nachdem"	104.837213045
13	64	"er"	4943.65829569
14	64	"die"	24520.1275636
15	64	"Beweismittel"	3.34360730936
16	64	"untersucht"	24.2554593811
17	64	"hatte"	1622.81040626
1	65	"Dass"	5.55087863828
2	65	"der"	26530.3631386
3	65	"Richter"	59.0567706671
4	65	"den"	9841.63424996
5	65	"Urteilsspruch"	0.989184558515
6	65	"fällt"	70.7307834733
7	65	"hat"	2369.4648962
8	65	"der"	26530.3631386
9	65	"junge"	96.4904573897
10	65	"Justizbeamte"	0.0817507899599
11	65	"bestätigt"	36.4526772431
12	65	"als"	4153.65136184
13	65	"der"	26530.3631386
14	65	"Journalist"	7.20224459547
15	65	"ihn"	1082.59301112
16	65	"danach"	66.7168196863
17	65	"fragte"	179.124155881
1	66	"Dass"	5.55087863828
2	66	"der"	26530.3631386
3	66	"Buchhalter"	2.69777606868
4	66	"den"	9841.63424996
5	66	"Betrug"	6.05773353603
6	66	"verheimlicht"	1.39793850831
7	66	"hat"	2369.4648962
8	66	"der"	26530.3631386
9	66	"eifrige"	2.043769749
10	66	"Inspektor"	4.34096694687
11	66	"festgestellt"	45.4697893757
12	66	"als"	4153.65136184
13	66	"er"	4943.65829569
14	66	"die"	24520.1275636
15	66	"Akten"	23.6586786144
16	66	"überprüfte"	0.833858057591
1	67	"Dass"	5.55087863828
2	67	"der"	26530.3631386
3	67	"Prominente"	0.457804423776
4	67	"den"	9841.63424996
5	67	"Vorfall"	7.07144333153
6	67	"bereut"	1.34888803434
7	67	"hat"	2369.4648962
8	67	"der"	26530.3631386
9	67	"erfahrene"	3.28638175639
10	67	"Reporter"	2.93485335956
11	67	"gemeldet"	25.0811423597
12	67	"nachdem"	104.837213045
13	67	"er"	4943.65829569
14	67	"das"	7683.24989344
15	67	"Interview"	11.2243834615
16	67	"gegeben"	167.883422262
17	67	"hatte"	1622.81040626
1	68	"Dass"	5.55087863828
2	68	"der"	26530.3631386
3	68	"Kunde"	11.4941610684
4	68	"den"	9841.63424996
5	68	"Verkäufer"	7.23494491145
6	68	"täuscht"	2.88580288559
7	68	"hat"	2369.4648962
8	68	"der"	26530.3631386
9	68	"gescheite"	0.784807583615
10	68	"Detektiv"	1.24261200739
11	68	"behauptet"	38.0141173314
12	68	"als"	4153.65136184
13	68	"er"	4943.65829569
14	68	"von"	7955.34104766
15	68	"der"	26530.3631386
16	68	"Polizei"	68.8832156202
17	68	"vernommen"	10.5867272998
