subject	item	cloze	segment	lab	base100	base200	base500	filt01	prestim
birm05	109	2	20	birm	-12.17	-11.6038	-10.5212	-12.26	-1.9792
birm05	133	11	21	birm	8.13	4.1003	-0.1024	7.94	10.2471
birm05	124	75	22	birm	-13.60	-11.9177	-15.9007	-12.47	2.7359
birm05	125	2	23	birm	0.55	1.2252	-2.3752	2.96	3.6112
birm05	135	93	24	birm	-2.60	0.9037	3.7143	1.73	-7.8439
birm05	138	0	25	birm	-16.78	-10.4758	-12.5709	-14.39	-5.2669
birm05	122	2	26	birm	5.82	6.3306	5.3263	6.52	0.6168
birm05	121	9	27	birm	0.00	-0.4500	-0.7488	-0.64	0.9612
birm05	140	55	28	birm	-5.84	-3.5423	-4.3945	-5.70	-1.7958
birm05	137	11	29	birm	-0.42	0.4659	4.5840	-0.38	-6.1721
birm05	128	61	30	birm	11.78	11.5444	7.8857	7.85	4.8377
birm05	126	0	31	birm	-6.20	-2.0470	-3.2468	-3.89	-3.6988
birm05	129	11	32	birm	11.06	9.9458	7.7351	10.82	4.0656
birm05	131	73	33	birm	1.06	2.6111	-2.1114	3.33	4.0441
birm05	127	70	34	birm	0.40	2.7156	0.8684	4.25	-0.5808
birm05	132	64	35	birm	-7.34	-4.6576	-0.4305	-7.02	-8.5578
birm05	130	0	36	birm	13.65	19.0749	18.4594	13.13	-5.9218
birm05	139	93	37	birm	8.16	3.3652	-1.5913	10.26	12.142
birm05	134	0	38	birm	-8.42	-7.9809	-7.3997	-9.97	-1.3427
birm05	123	70	39	birm	20.39	17.0721	14.3722	19.86	7.4472
birm05	136	75	40	birm	-17.43	-15.7577	-15.2967	-15.76	-2.6416
birm05	151	75	41	birm	-11.31	-2.0206	2.9443	-12.42	-17.7275
birm05	144	77	42	birm	-8.07	-2.7761	5.2754	-3.76	-16.6084
birm05	141	9	43	birm	-0.35	0.4584	-3.4274	-3.11	3.7231
birm05	147	91	44	birm	-1.29	-2.3349	-3.5651	-1.30	2.8439
birm05	145	5	45	birm	-9.22	-13.1950	-13.3967	-7.44	5.1381
birm05	149	2	46	birm	-4.88	0.3583	2.5960	-3.36	-9.2449
birm05	153	25	47	birm	-6.76	-9.6999	-3.0640	-5.84	-4.5971
birm05	157	11	48	birm	1.46	2.1376	2.0076	0.33	-0.6741
birm05	146	16	49	birm	7.83	5.8491	6.5388	5.14	1.5746
birm05	159	52	50	birm	5.69	6.5319	3.0915	7.46	3.3114
birm05	155	68	51	birm	1.68	-2.3811	-1.3669	-1.35	3.8509
birm05	150	0	52	birm	-4.50	-3.2264	0.9680	-4.92	-6.8091
birm05	142	0	53	birm	0.64	2.9849	-0.0252	3.34	0.8231
birm05	158	0	54	birm	-1.17	-1.7498	-6.2118	-5.47	6.3277
birm05	154	5	55	birm	-1.16	-0.1379	-1.1975	0.08	-0.015
birm05	148	89	56	birm	-4.24	-1.7750	-7.6073	-3.39	4.1335
birm05	160	16	57	birm	15.25	13.6795	9.5122	14.46	6.992
birm05	143	86	58	birm	-10.79	-4.2915	-3.1804	-6.92	-9.4305
birm05	152	86	59	birm	20.03	13.5286	11.9366	15.64	10.0724
birm05	156	100	60	birm	2.50	-1.2081	-3.8627	1.83	7.9119
birm05	165	14	61	birm	22.15	21.8421	18.0731	20.72	4.9965
birm05	173	18	62	birm	0.21	1.4770	1.5777	0.67	-1.6581
birm05	180	95	63	birm	-11.83	-13.4336	-13.0083	-10.18	1.4622
birm05	162	0	64	birm	-17.30	-15.9544	-13.4947	-12.70	-4.7966
birm05	176	73	65	birm	10.83	15.7708	12.3185	8.55	-1.8418
birm05	171	57	66	birm	-9.06	-4.2988	-3.2773	-12.57	-7.2189
birm05	164	68	67	birm	-1.61	-3.8387	-3.8523	-1.66	2.6822
birm05	179	95	68	birm	-4.14	-0.8689	-5.7005	-4.60	1.8459
birm05	168	82	69	birm	-2.46	-0.7654	0.6371	0.27	-3.8984
birm05	170	16	70	birm	-3.77	-0.7571	2.1460	-4.77	-7.4071
birm05	172	73	71	birm	6.49	4.5400	0.7458	8.85	7.1559
birm05	166	0	72	birm	4.86	6.5830	11.3262	6.28	-8.0837
birm05	161	18	73	birm	3.40	3.0758	4.3578	1.31	-1.1886
birm05	169	5	74	birm	15.28	10.1302	5.7114	17.23	11.9273
